Title,Authors,Journal,Year,Published,E-published,Volume,Issue,Pages,DOI,PMID,Labels,Qualifiers,IUID,URL,DOI URL,PubMed URL
Mechanisms underlying the sparing of masticatory versus limb muscle function in an experimental critical illness model.,"Aare S, Ochala J, Norman HS, Radell P, Eriksson LI, Göransson H, Chen YW, Hoffman EP, Larsson L",Physiol. Genomics,2011,2011-12-16,2011-10-20,43,24,1334-1350,10.1152/physiolgenomics.00116.2011,22010006,Array and Analysis Facility,,fcddedebd2f947529567e84610e7b9bf,https://publications.scilifelab.se/publication/fcddedebd2f947529567e84610e7b9bf,https://doi.org/10.1152/physiolgenomics.00116.2011,https://www.ncbi.nlm.nih.gov/pubmed/22010006
Association between body mass index and insulin receptor substrate-4 (IRS-4) gene polymorphisms in patients with schizophrenia.,"Melkersson K, Persson B",Neuro Endocrinol. Lett.,2011,2011-12-15,2011-12-15,32,5,634-640,,22167131,"NGI Stockholm (Genomics Applications), NGI Stockholm (Genomics Production), NGI Uppsala (Uppsala Genome Center)",,1f50059e02074a5e873a48572d7e242e,https://publications.scilifelab.se/publication/1f50059e02074a5e873a48572d7e242e,,https://www.ncbi.nlm.nih.gov/pubmed/22167131
Identification of immunogenic proteins in Treponema phagedenis-like strain V1 from digital dermatitis lesions by phage display.,"Rosander A, Guss B, Frykberg L, Björkman C, Näslund K, Pringle M",Vet. Microbiol.,2011,2011-12-15,2011-07-19,153,3-4,315-322,10.1016/j.vetmic.2011.06.005,21763087,NGI Uppsala (Uppsala Genome Center),,63726d739c284fc0b2e763ada43dcfce,https://publications.scilifelab.se/publication/63726d739c284fc0b2e763ada43dcfce,https://doi.org/10.1016/j.vetmic.2011.06.005,https://www.ncbi.nlm.nih.gov/pubmed/21763087
"Polymorphisms in B3GAT1, SLC9A9 and MGAT5 are associated with variation within the human plasma N-glycome of 3533 European adults.","Huffman JE, Knezevic A, Vitart V, Kattla J, Adamczyk B, Novokmet M, Igl W, Pucic M, Zgaga L, Johannson Å, Redzic I, Gornik O, Zemunik T, Polasek O, Kolcic I, Pehlic M, Koeleman CA, Campbell S, Wild SH, Hastie ND, Campbell H, Gyllensten U, Wuhrer M, Wilson JF, Hayward C, Rudan I, Rudd PM, Wright AF, Lauc G",Hum. Mol. Genet.,2011,2011-12-15,2011-09-13,20,24,5000-5011,10.1093/hmg/ddr414,21908519,NGI Uppsala (Uppsala Genome Center),,b83534b05e3b433d920a6dcd787ca276,https://publications.scilifelab.se/publication/b83534b05e3b433d920a6dcd787ca276,https://doi.org/10.1093/hmg/ddr414,https://www.ncbi.nlm.nih.gov/pubmed/21908519
The inner nuclear membrane proteins Man1 and Ima1 link to two different types of chromatin at the nuclear periphery in S. pombe.,"Steglich B, Filion GJ, van Steensel B, Ekwall K",Nucleus,2011,2011-12-14,2011-12-14,3,1,77-87,10.4161/nucl.18825,22156748,"NGI Stockholm (Genomics Applications), NGI Stockholm (Genomics Production)",,6a9c4398ade546adae060121bcfffdbb,https://publications.scilifelab.se/publication/6a9c4398ade546adae060121bcfffdbb,https://doi.org/10.4161/nucl.18825,https://www.ncbi.nlm.nih.gov/pubmed/22156748
Muscle wasting and the temporal gene expression pattern in a novel rat intensive care unit model.,"Llano-Diez M, Gustafson AM, Olsson C, Goransson H, Larsson L",BMC Genomics,2011,2011-12-13,2011-12-13,12,,602,10.1186/1471-2164-12-602,22165895,Array and Analysis Facility,,4981f4e297634c109a11f7a33ef378df,https://publications.scilifelab.se/publication/4981f4e297634c109a11f7a33ef378df,https://doi.org/10.1186/1471-2164-12-602,https://www.ncbi.nlm.nih.gov/pubmed/22165895
Blood pressure loci identified with a gene-centric array.,"Johnson T, Gaunt TR, Newhouse SJ, Padmanabhan S, Tomaszewski M, Kumari M, Morris RW, Tzoulaki I, O'Brien ET, Poulter NR, Sever P, Shields DC, Thom S, Wannamethee SG, Whincup PH, Brown MJ, Connell JM, Dobson RJ, Howard PJ, Mein CA, Onipinla A, Shaw-Hawkins S, Zhang Y, Davey Smith G, Day IN, Lawlor DA, Goodall AH, Cardiogenics Consortium , Fowkes FG, Abecasis GR, Elliott P, Gateva V, Global BPgen Consortium , Braund PS, Burton PR, Nelson CP, Tobin MD, van der Harst P, Glorioso N, Neuvrith H, Salvi E, Staessen JA, Stucchi A, Devos N, Jeunemaitre X, Plouin PF, Tichet J, Juhanson P, Org E, Putku M, Sõber S, Veldre G, Viigimaa M, Levinsson A, Rosengren A, Thelle DS, Hastie CE, Hedner T, Lee WK, Melander O, Wahlstrand B, Hardy R, Wong A, Cooper JA, Palmen J, Chen L, Stewart AF, Wells GA, Westra HJ, Wolfs MG, Clarke R, Franzosi MG, Goel A, Hamsten A, Lathrop M, Peden JF, Seedorf U, Watkins H, Ouwehand WH, Sambrook J, Stephens J, Casas JP, Drenos F, Holmes MV, Kivimaki M, Shah S, Shah T, Talmud PJ, Whittaker J, Wallace C, Delles C, Laan M, Kuh D, Humphries SE, Nyberg F, Cusi D, Roberts R, Newton-Cheh C, Franke L, Stanton AV, Dominiczak AF, Farrall M, Hingorani AD, Samani NJ, Caulfield MJ, Munroe PB",Am. J. Hum. Genet.,2011,2011-12-09,2011-11-22,89,6,688-700,10.1016/j.ajhg.2011.10.013,22100073,NGI Uppsala (SNP&SEQ Technology Platform),,5aebe6334bed4654b7be912fbaa50694,https://publications.scilifelab.se/publication/5aebe6334bed4654b7be912fbaa50694,https://doi.org/10.1016/j.ajhg.2011.10.013,https://www.ncbi.nlm.nih.gov/pubmed/22100073
Common variants of the BRCA1 wild-type allele modify the risk of breast cancer in BRCA1 mutation carriers.,"Cox DG, Simard J, Sinnett D, Hamdi Y, Soucy P, Ouimet M, Barjhoux L, Verny-Pierre C, McGuffog L, Healey S, Szabo C, Greene MH, Mai PL, Andrulis IL, Ontario Cancer Genetics Network , Thomassen M, Gerdes AM, Caligo MA, Friedman E, Laitman Y, Kaufman B, Paluch SS, Borg Å, Karlsson P, Askmalm MS, Bustinza GB, SWE-BRCA Collaborators , Nathanson KL, Domchek SM, Rebbeck TR, Benítez J, Hamann U, Rookus MA, van den Ouweland AM, Ausems MG, Aalfs CM, van Asperen CJ, Devilee P, Gille HJ, HEBON , EMBRACE , Peock S, Frost D, Evans DG, Eeles R, Izatt L, Adlard J, Paterson J, Eason J, Godwin AK, Remon MA, Moncoutier V, Gauthier-Villars M, Lasset C, Giraud S, Hardouin A, Berthet P, Sobol H, Eisinger F, Bressac de Paillerets B, Caron O, Delnatte C, GEMO Study Collaborators , Goldgar D, Miron A, Ozcelik H, Buys S, Southey MC, Terry MB, Breast Cancer Family Registry , Singer CF, Dressler AC, Tea MK, Hansen TV, Johannsson O, Piedmonte M, Rodriguez GC, Basil JB, Blank S, Toland AE, Montagna M, Isaacs C, Blanco I, Gayther SA, Moysich KB, Schmutzler RK, Wappenschmidt B, Engel C, Meindl A, Ditsch N, Arnold N, Niederacher D, Sutter C, Gadzicki D, Fiebig B, Caldes T, Laframboise R, Nevanlinna H, Chen X, Beesley J, Spurdle AB, Neuhausen SL, Ding YC, Couch FJ, Wang X, Peterlongo P, Manoukian S, Bernard L, Radice P, Easton DF, Chenevix-Trench G, Antoniou AC, Stoppa-Lyonnet D, Mazoyer S, Sinilnikova OM, Consortium of Investigators of Modifiers of BRCA1/2 ",Hum. Mol. Genet.,2011,2011-12-01,2011-09-06,20,23,4732-4747,10.1093/hmg/ddr388,21890493,"NGI Stockholm (Genomics Applications), NGI Stockholm (Genomics Production)",,eeab66fda60e4471a39920006dc55659,https://publications.scilifelab.se/publication/eeab66fda60e4471a39920006dc55659,https://doi.org/10.1093/hmg/ddr388,https://www.ncbi.nlm.nih.gov/pubmed/21890493
Pathway-based analysis of genetic susceptibility to cervical cancer in situ: HLA-DPB1 affects risk in Swedish women.,"Ivansson EL, Juko-Pecirep I, Erlich HA, Gyllensten UB",Genes Immun.,2011,2011-12-00,2011-07-01,12,8,605-614,10.1038/gene.2011.40,21716314,NGI Uppsala (Uppsala Genome Center),,01a2aabefb7442eab3fd126b52907d88,https://publications.scilifelab.se/publication/01a2aabefb7442eab3fd126b52907d88,https://doi.org/10.1038/gene.2011.40,https://www.ncbi.nlm.nih.gov/pubmed/21716314
"Salt-inducible kinase 1 influences Na(+),K(+)-ATPase activity in vascular smooth muscle cells and associates with variations in blood pressure.","Popov S, Silveira A, Wågsäter D, Takemori H, Oguro R, Matsumoto S, Sugimoto K, Kamide K, Hirose T, Satoh M, Metoki H, Kikuya M, Ohkubo T, Katsuya T, Rakugi H, Imai Y, Sanchez F, Leosdottir M, Syvänen AC, Hamsten A, Melander O, Bertorello AM",J. Hypertens.,2011,2011-12-00,2011-11-03,29,12,2395-2403,10.1097/HJH.0b013e32834d3d55,22045124,NGI Uppsala (SNP&SEQ Technology Platform),,4f7dadd5ad1e4faa87479d07cad1c76d,https://publications.scilifelab.se/publication/4f7dadd5ad1e4faa87479d07cad1c76d,https://doi.org/10.1097/HJH.0b013e32834d3d55,https://www.ncbi.nlm.nih.gov/pubmed/22045124
