Title,Authors,Journal,Year,Published,E-published,Volume,Issue,Pages,DOI,PMID,Labels,Qualifiers,IUID,URL,DOI URL,PubMed URL
Powerful identification of cis-regulatory SNPs in human primary monocytes using allele-specific gene expression.,"Almlöf JC, Lundmark P, Lundmark A, Ge B, Maouche S, Göring HH, Liljedahl U, Enström C, Brocheton J, Proust C, Godefroy T, Sambrook JG, Jolley J, Crisp-Hihn A, Foad N, Lloyd-Jones H, Stephens J, Gwilliam R, Rice CM, Hengstenberg C, Samani NJ, Erdmann J, Schunkert H, Pastinen T, Deloukas P, Goodall AH, Ouwehand WH, Cambien F, Syvänen AC",PLoS ONE,2012,2012-12-26,2012-12-26,7,12,e52260,10.1371/journal.pone.0052260,23300628,NGI Uppsala (SNP&SEQ Technology Platform),,57d11cb6d6af42fa9a9b497a2b9d67da,https://publications.scilifelab.se/publication/57d11cb6d6af42fa9a9b497a2b9d67da,https://doi.org/10.1371/journal.pone.0052260,https://www.ncbi.nlm.nih.gov/pubmed/23300628
Genomic diversity of the 2011 European outbreaks of Escherichia coli O104:H4.,"Guy L, Jernberg C, Ivarsson S, Hedenström I, Engstrand L, Andersson SG",Proc. Natl. Acad. Sci. U.S.A.,2012,2012-12-26,2012-12-19,109,52,E3627-E3628,10.1073/pnas.1206246110,23248326,NGI Uppsala (SNP&SEQ Technology Platform),,93db6ff10b0f4ed48c3a43f6b7d7a551,https://publications.scilifelab.se/publication/93db6ff10b0f4ed48c3a43f6b7d7a551,https://doi.org/10.1073/pnas.1206246110,https://www.ncbi.nlm.nih.gov/pubmed/23248326
Genome-wide sequencing for the identification of rearrangements associated with Tourette syndrome and obsessive-compulsive disorder.,"Hooper SD, Johansson AC, Tellgren-Roth C, Stattin EL, Dahl N, Cavelier L, Feuk L",BMC Med. Genet.,2012,2012-12-19,2012-12-19,13,,123,10.1186/1471-2350-13-123,23253088,"NGI Stockholm (Genomics Applications), NGI Stockholm (Genomics Production), NGI Uppsala (Uppsala Genome Center)",,d94da77410ff4e17a03dcc005cecffe2,https://publications.scilifelab.se/publication/d94da77410ff4e17a03dcc005cecffe2,https://doi.org/10.1186/1471-2350-13-123,https://www.ncbi.nlm.nih.gov/pubmed/23253088
Integration of genome-wide association studies with biological knowledge identifies six novel genes related to kidney function.,"Chasman DI, Fuchsberger C, Pattaro C, Teumer A, Böger CA, Endlich K, Olden M, Chen MH, Tin A, Taliun D, Li M, Gao X, Gorski M, Yang Q, Hundertmark C, Foster MC, O'Seaghdha CM, Glazer N, Isaacs A, Liu CT, Smith AV, O'Connell JR, Struchalin M, Tanaka T, Li G, Johnson AD, Gierman HJ, Feitosa MF, Hwang SJ, Atkinson EJ, Lohman K, Cornelis MC, Johansson A, Tönjes A, Dehghan A, Lambert JC, Holliday EG, Sorice R, Kutalik Z, Lehtimäki T, Esko T, Deshmukh H, Ulivi S, Chu AY, Murgia F, Trompet S, Imboden M, Coassin S, Pistis G, CARDIoGRAM Consortium , ICBP Consortium , CARe Consortium , WTCCC2 , Harris TB, Launer LJ, Aspelund T, Eiriksdottir G, Mitchell BD, Boerwinkle E, Schmidt H, Cavalieri M, Rao M, Hu F, Demirkan A, Oostra BA, de Andrade M, Turner ST, Ding J, Andrews JS, Freedman BI, Giulianini F, Koenig W, Illig T, Meisinger C, Gieger C, Zgaga L, Zemunik T, Boban M, Minelli C, Wheeler HE, Igl W, Zaboli G, Wild SH, Wright AF, Campbell H, Ellinghaus D, Nöthlings U, Jacobs G, Biffar R, Ernst F, Homuth G, Kroemer HK, Nauck M, Stracke S, Völker U, Völzke H, Kovacs P, Stumvoll M, Mägi R, Hofman A, Uitterlinden AG, Rivadeneira F, Aulchenko YS, Polasek O, Hastie N, Vitart V, Helmer C, Wang JJ, Stengel B, Ruggiero D, Bergmann S, Kähönen M, Viikari J, Nikopensius T, Province M, Ketkar S, Colhoun H, Doney A, Robino A, Krämer BK, Portas L, Ford I, Buckley BM, Adam M, Thun GA, Paulweber B, Haun M, Sala C, Mitchell P, Ciullo M, Kim SK, Vollenweider P, Raitakari O, Metspalu A, Palmer C, Gasparini P, Pirastu M, Jukema JW, Probst-Hensch NM, Kronenberg F, Toniolo D, Gudnason V, Shuldiner AR, Coresh J, Schmidt R, Ferrucci L, Siscovick DS, van Duijn CM, Borecki IB, Kardia SL, Liu Y, Curhan GC, Rudan I, Gyllensten U, Wilson JF, Franke A, Pramstaller PP, Rettig R, Prokopenko I, Witteman J, Hayward C, Ridker PM, Parsa A, Bochud M, Heid IM, Kao WH, Fox CS, Köttgen A",Hum. Mol. Genet.,2012,2012-12-15,2012-09-11,21,24,5329-5343,10.1093/hmg/dds369,22962313,NGI Uppsala (Uppsala Genome Center),,9a410aa7c695419782102293becba144,https://publications.scilifelab.se/publication/9a410aa7c695419782102293becba144,https://doi.org/10.1093/hmg/dds369,https://www.ncbi.nlm.nih.gov/pubmed/22962313
Evidence for small RNAs homologous to effector-encoding genes and transposable elements in the oomycete Phytophthora infestans.,"Vetukuri RR, Åsman AK, Tellgren-Roth C, Jahan SN, Reimegård J, Fogelqvist J, Savenkov E, Söderbom F, Avrova AO, Whisson SC, Dixelius C",PLoS ONE,2012,2012-12-14,2012-12-14,7,12,e51399,10.1371/journal.pone.0051399,23272103,"NGI Stockholm (Genomics Applications), NGI Stockholm (Genomics Production), NGI Uppsala (Uppsala Genome Center)",,8a675a9d47874b2ab739dc2952691221,https://publications.scilifelab.se/publication/8a675a9d47874b2ab739dc2952691221,https://doi.org/10.1371/journal.pone.0051399,https://www.ncbi.nlm.nih.gov/pubmed/23272103
Similar but different: thermodynamic and structural characterization of a pair of enantiomers binding to acetylcholinesterase.,"Berg L, Niemiec MS, Qian W, Andersson CD, Wittung-Stafshede P, Ekström F, Linusson A",Angew. Chem. Int. Ed. Engl.,2012,2012-12-14,2012-11-20,51,51,12716-12720,10.1002/anie.201205113,23161758,Chemical Biology Consortium Sweden (CBCS),Service,c8aff4654dd5445e83afbfa1a27e9fa7,https://publications.scilifelab.se/publication/c8aff4654dd5445e83afbfa1a27e9fa7,https://doi.org/10.1002/anie.201205113,https://www.ncbi.nlm.nih.gov/pubmed/23161758
Novel missense mutation in the RSPO4 gene in congenital hyponychia and evidence for a polymorphic initiation codon (p.M1I).,"Khan TN, Klar J, Nawaz S, Jameel M, Tariq M, Malik NA, Baig SM, Dahl N",BMC Med. Genet.,2012,2012-12-13,2012-12-13,13,,120,10.1186/1471-2350-13-120,23234511,"NGI Stockholm (Genomics Applications), NGI Stockholm (Genomics Production)",,29bdc5e9b91b4b6bb38e0962a385a715,https://publications.scilifelab.se/publication/29bdc5e9b91b4b6bb38e0962a385a715,https://doi.org/10.1186/1471-2350-13-120,https://www.ncbi.nlm.nih.gov/pubmed/23234511
EGFR gene variants are associated with specific somatic aberrations in glioma.,"Wibom C, Ghasimi S, Van Loo P, Brännström T, Trygg J, Lau C, Henriksson R, Bergenheim T, Andersson U, Rydén P, Melin B",PLoS ONE,2012,2012-12-07,2012-12-07,7,12,e47929,10.1371/journal.pone.0047929,23236348,NGI Uppsala (SNP&SEQ Technology Platform),,dd5c497e6a6b44708401feadf5e89685,https://publications.scilifelab.se/publication/dd5c497e6a6b44708401feadf5e89685,https://doi.org/10.1371/journal.pone.0047929,https://www.ncbi.nlm.nih.gov/pubmed/23236348
Mice lacking a Myc enhancer that includes human SNP rs6983267 are resistant to intestinal tumors.,"Sur IK, Hallikas O, Vähärautio A, Yan J, Turunen M, Enge M, Taipale M, Karhu A, Aaltonen LA, Taipale J",Science,2012,2012-12-07,2012-11-03,338,6112,1360-1363,10.1126/science.1228606,23118011,Karolinska High Throughput Center (KHTC),,e164267f0e424c6aa7552763809abd16,https://publications.scilifelab.se/publication/e164267f0e424c6aa7552763809abd16,https://doi.org/10.1126/science.1228606,https://www.ncbi.nlm.nih.gov/pubmed/23118011
Symptomatic atherosclerosis is associated with an altered gut metagenome.,"Karlsson FH, Fåk F, Nookaew I, Tremaroli V, Fagerberg B, Petranovic D, Bäckhed F, Nielsen J",Nat Commun,2012,2012-12-06,2012-12-06,3,,1245,10.1038/ncomms2266,23212374,"NGI Stockholm (Genomics Applications), NGI Stockholm (Genomics Production)",,6cb6fb789ed643b2ab8c7387bb5a3546,https://publications.scilifelab.se/publication/6cb6fb789ed643b2ab8c7387bb5a3546,https://doi.org/10.1038/ncomms2266,https://www.ncbi.nlm.nih.gov/pubmed/23212374
