Title,Authors,Journal,Year,Published,E-published,Volume,Issue,Pages,DOI,PMID,Labels,Qualifiers,IUID,URL,DOI URL,PubMed URL
Association of STAT4 polymorphism with severe renal insufficiency in lupus nephritis.,"Bolin K, Sandling JK, Zickert A, Jönsen A, Sjöwall C, Svenungsson E, Bengtsson AA, Eloranta ML, Rönnblom L, Syvänen AC, Gunnarsson I, Nordmark G",PLoS ONE,2013,2013-12-27,2013-12-27,8,12,e84450,10.1371/journal.pone.0084450,24386384,NGI Uppsala (SNP&SEQ Technology Platform),,1e4ae076b4fa47ce8bcfb0847b5c7ba4,https://publications.scilifelab.se/publication/1e4ae076b4fa47ce8bcfb0847b5c7ba4,https://doi.org/10.1371/journal.pone.0084450,https://www.ncbi.nlm.nih.gov/pubmed/24386384
Structure-activity relationships of synthetic cordycepin analogues as experimental therapeutics for African trypanosomiasis.,"Vodnala SK, Lundbäck T, Yeheskieli E, Sjöberg B, Gustavsson A, Svensson R, Olivera GC, Eze AA, de Koning HP, Hammarström LGJ, Rottenberg ME",J. Med. Chem.,2013,2013-12-27,2013-11-29,56,24,9861-9873,10.1021/jm401530a,24283924,Chemical Biology Consortium Sweden (CBCS),Collaborative,b695a1f42a0f4417b066ba2e33a3d879,https://publications.scilifelab.se/publication/b695a1f42a0f4417b066ba2e33a3d879,https://doi.org/10.1021/jm401530a,https://www.ncbi.nlm.nih.gov/pubmed/24283924
Automated quality control system for LC-SRM setups.,"Teleman J, Waldemarson S, Malmström J, Levander F",J Proteomics,2013,2013-12-16,2013-04-16,95,,77-83,10.1016/j.jprot.2013.03.029,23584149,Bioinformatics Support and Infrastructure,,d757e4ec2c9645bf9b2e900d4b22d853,https://publications.scilifelab.se/publication/d757e4ec2c9645bf9b2e900d4b22d853,https://doi.org/10.1016/j.jprot.2013.03.029,https://www.ncbi.nlm.nih.gov/pubmed/23584149
Profiling post-centrifugation delay of serum and plasma with antibody bead arrays.,"Qundos U, Hong M, Tybring G, Divers M, Odeberg J, Uhlen M, Nilsson P, Schwenk JM",J Proteomics,2013,2013-12-16,2013-05-02,95,,46-54,10.1016/j.jprot.2013.04.020,23631827,Plasma Profiling,Collaborative,e2c12498a4ee40849faac3f32a0dfe51,https://publications.scilifelab.se/publication/e2c12498a4ee40849faac3f32a0dfe51,https://doi.org/10.1016/j.jprot.2013.04.020,https://www.ncbi.nlm.nih.gov/pubmed/23631827
Combining genetic mapping with genome-wide expression in experimental autoimmune encephalomyelitis highlights a gene network enriched for T cell functions and candidate genes regulating autoimmunity.,"Thessen Hedreul M, Möller S, Stridh P, Gupta Y, Gillett A, Daniel Beyeen A, Öckinger J, Flytzani S, Diez M, Olsson T, Jagodic M",Hum. Mol. Genet.,2013,2013-12-15,2013-08-01,22,24,4952-4966,10.1093/hmg/ddt343,23900079,Bioinformatics and Expression Analysis (BEA),,efeedfd96084458ca410cc81b55165ec,https://publications.scilifelab.se/publication/efeedfd96084458ca410cc81b55165ec,https://doi.org/10.1093/hmg/ddt343,https://www.ncbi.nlm.nih.gov/pubmed/23900079
Chemical probes to study ADP-ribosylation: synthesis and biochemical evaluation of inhibitors of the human ADP-ribosyltransferase ARTD3/PARP3.,"Lindgren AE, Karlberg T, Ekblad T, Spjut S, Thorsell AG, Andersson CD, Nhan TT, Hellsten V, Weigelt J, Linusson A, Schüler H, Elofsson M",J. Med. Chem.,2013,2013-12-12,2013-11-06,56,23,9556-9568,10.1021/jm401394u,24188023,Protein Science Facility (PSF),,c43ed1589593433d9bbce84df56b6c35,https://publications.scilifelab.se/publication/c43ed1589593433d9bbce84df56b6c35,https://doi.org/10.1021/jm401394u,https://www.ncbi.nlm.nih.gov/pubmed/24188023
"Genome-wide analyses implicate 33 loci in heritable dog osteosarcoma, including regulatory variants near CDKN2A/B.","Karlsson EK, Sigurdsson S, Ivansson E, Thomas R, Elvers I, Wright J, Howald C, Tonomura N, Perloski M, Swofford R, Biagi T, Fryc S, Anderson N, Courtay-Cahen C, Youell L, Ricketts SL, Mandlebaum S, Rivera P, von Euler H, Kisseberth WC, London CA, Lander ES, Couto G, Comstock K, Starkey MP, Modiano JF, Breen M, Lindblad-Toh K",Genome Biol.,2013,2013-12-12,2013-12-12,14,12,R132,10.1186/gb-2013-14-12-r132,24330828,NGI Uppsala (SNP&SEQ Technology Platform),,c6dbbaf52b434306af5050f32ed8bf8d,https://publications.scilifelab.se/publication/c6dbbaf52b434306af5050f32ed8bf8d,https://doi.org/10.1186/gb-2013-14-12-r132,https://www.ncbi.nlm.nih.gov/pubmed/24330828
Linkage analysis in familial non-Lynch syndrome colorectal cancer families from Sweden.,"Kontham V, von Holst S, Lindblom A",PLoS ONE,2013,2013-12-11,2013-12-11,8,12,e83936,10.1371/journal.pone.0083936,24349560,"Bioinformatics Support and Infrastructure, NGI Uppsala (SNP&SEQ Technology Platform)",,1d3d7629f89949b7a615689e384b642a,https://publications.scilifelab.se/publication/1d3d7629f89949b7a615689e384b642a,https://doi.org/10.1371/journal.pone.0083936,https://www.ncbi.nlm.nih.gov/pubmed/24349560
Utilizing twins as controls for non-twin case-materials in genome wide association studies.,"Ganna A, Ortega-Alonso A, Havulinna A, Salomaa V, Kaprio J, Pedersen NL, Sullivan PF, Ingelsson E, Hultman CM, Magnusson PKE",PLoS ONE,2013,2013-12-10,2013-12-10,8,12,e83101,10.1371/journal.pone.0083101,24340086,NGI Uppsala (SNP&SEQ Technology Platform),,bc874f0af2d147b9bf8a435cf8fd65c2,https://publications.scilifelab.se/publication/bc874f0af2d147b9bf8a435cf8fd65c2,https://doi.org/10.1371/journal.pone.0083101,https://www.ncbi.nlm.nih.gov/pubmed/24340086
Accurate detection of subclonal single nucleotide variants in whole genome amplified and pooled cancer samples using HaloPlex target enrichment.,"Berglund EC, Lindqvist CM, Hayat S, Övernäs E, Henriksson N, Nordlund J, Wahlberg P, Forestier E, Lönnerholm G, Syvänen A",BMC Genomics,2013,2013-12-05,2013-12-05,14,,856,10.1186/1471-2164-14-856,24314227,NGI Uppsala (SNP&SEQ Technology Platform),,4e0d648beb724ac882611eb7ebb736ef,https://publications.scilifelab.se/publication/4e0d648beb724ac882611eb7ebb736ef,https://doi.org/10.1186/1471-2164-14-856,https://www.ncbi.nlm.nih.gov/pubmed/24314227
