Title,Authors,Journal,Year,Published,E-published,Volume,Issue,Pages,DOI,PMID,Labels,Qualifiers,IUID,URL,DOI URL,PubMed URL
Identification of Compounds that Selectively Stabilize Specific G-Quadruplex Structures by Using a Thioflavin T-Displacement Assay as a Tool.,"Jamroskovic J, Livendahl M, Eriksson J, Chorell E, Sabouri N",Chemistry,2016,2016-12-23,2016-11-20,22,52,18932-18943,10.1002/chem.201603463,27862378,Chemical Biology Consortium Sweden (CBCS),Collaborative,c1f37d688720468bba85733e96431889,https://publications.scilifelab.se/publication/c1f37d688720468bba85733e96431889,https://doi.org/10.1002/chem.201603463,https://www.ncbi.nlm.nih.gov/pubmed/27862378
"Single-Nucleotide Polymorphisms and Cancer Risk, Tumor Recurrence, or Survival of Head and Neck Cancer Patients.","Laytragoon-Lewin N, Cederblad L, Andersson BÅ, Olin M, Nilsson M, Rutqvist LE, Lundgren J, Engström M, Tytor W, Löfgren S, Lewin F",Oncology,2016,2016-12-21,2016-12-21,92,3,161-169,10.1159/000452278,27997918,NGI Uppsala (SNP&SEQ Technology Platform),Service,484b585219f84ab08f68c6761e9e2ab0,https://publications.scilifelab.se/publication/484b585219f84ab08f68c6761e9e2ab0,https://doi.org/10.1159/000452278,https://www.ncbi.nlm.nih.gov/pubmed/27997918
Identification of a Differentially Expressed TIR-NBS-LRR Gene in a Major QTL Associated to Leaf Rust Resistance in Salix,"Martin T, Rönnberg-Wästljung AC, Stenlid J, Samils B",PLoS ONE,2016,2016-12-21,2016-12-21,11,12,e0168776,10.1371/journal.pone.0168776,,NGI Uppsala (SNP&SEQ Technology Platform),Service,7bc379f4a1a340a2b41cd238abcd8c89,https://publications.scilifelab.se/publication/7bc379f4a1a340a2b41cd238abcd8c89,https://doi.org/10.1371/journal.pone.0168776,
Spontaneous Vesiculation and pH-Induced Disassembly of a Lysosomotropic Detergent: Impacts on Lysosomotropism and Lysosomal Delivery.,"Villamil Giraldo AM, Fyrner T, Wennmalm S, Parikh AN, Öllinger K, Ederth T",Langmuir,2016,2016-12-20,2016-12-13,32,50,13566-13575,10.1021/acs.langmuir.6b03458,27936755,Fluorescence Correlation Spectroscopy,Collaborative,07e0aad42700478fbf4496f8b2c0521b,https://publications.scilifelab.se/publication/07e0aad42700478fbf4496f8b2c0521b,https://doi.org/10.1021/acs.langmuir.6b03458,https://www.ncbi.nlm.nih.gov/pubmed/27936755
Production of individualized V gene databases reveals high levels of immunoglobulin genetic diversity.,"Corcoran MM, Phad GE, Néstor VB, Stahl-Hennig C, Sumida N, Persson MA, Martin M, Karlsson Hedestam GB",Nat Commun,2016,2016-12-20,2016-12-20,7,,13642,10.1038/ncomms13642,27995928,Bioinformatics Long-term Support WABI,Collaborative,3581eb151b9748d899ada9189de921c6,https://publications.scilifelab.se/publication/3581eb151b9748d899ada9189de921c6,https://doi.org/10.1038/ncomms13642,https://www.ncbi.nlm.nih.gov/pubmed/27995928
Regio- and Stereoselective Alkylation of Pyridine-N-oxides: Synthesis of Substituted Piperidines and Pyridines,"Barange DK, Johnson MT, Cairns AG, Olsson R, Almqvist F",Org. Lett.,2016,2016-12-16,2016-11-28,18,24,6228-6231,10.1021/acs.orglett.6b02667,,Swedish NMR Centre (SNC),Service,f59bd5ed8a1b46379bdd97c4791304d9,https://publications.scilifelab.se/publication/f59bd5ed8a1b46379bdd97c4791304d9,https://doi.org/10.1021/acs.orglett.6b02667,
Disentangling genetic and epigenetic determinants of ultrafast adaptation.,"Gjuvsland AB, Zörgö E, Samy JK, Stenberg S, Demirsoy IH, Roque F, Maciaszczyk-Dziubinska E, Migocka M, Alonso-Perez E, Zackrisson M, Wysocki R, Tamás MJ, Jonassen I, Omholt SW, Warringer J",Mol. Syst. Biol.,2016,2016-12-15,2016-12-15,12,12,892,10.15252/msb.20166951,27979908,"NGI Stockholm (Genomics Applications), NGI Stockholm (Genomics Production)","Service, Service",5722f97ece754a98b422ac1b7114ae1d,https://publications.scilifelab.se/publication/5722f97ece754a98b422ac1b7114ae1d,https://doi.org/10.15252/msb.20166951,https://www.ncbi.nlm.nih.gov/pubmed/27979908
Genome-wide association study of caffeine metabolites provides new insights to caffeine metabolism and dietary caffeine-consumption behavior.,"Cornelis MC, Kacprowski T, Menni C, Gustafsson S, Pivin E, Adamski J, Artati A, Eap CB, Ehret G, Friedrich N, Ganna A, Guessous I, Homuth G, Lind L, Magnusson PK, Mangino M, Pedersen NL, Pietzner M, Suhre K, Völzke H, Swiss Kidney Project on Genes in Hypertension (SKIPOGH) team , Bochud M, Spector TD, Grabe HJ, Ingelsson E",Hum. Mol. Genet.,2016,2016-12-15,2016-10-06,25,24,5472-5482,10.1093/hmg/ddw334,27702941,"Bioinformatics Compute and Storage, NGI Uppsala (SNP&SEQ Technology Platform)","Service, Service",71c8c27fc4ec429bae91b3e39587a19f,https://publications.scilifelab.se/publication/71c8c27fc4ec429bae91b3e39587a19f,https://doi.org/10.1093/hmg/ddw334,https://www.ncbi.nlm.nih.gov/pubmed/27702941
Ionization of Cellobiose in Aqueous Alkali and the Mechanism of Cellulose Dissolution.,"Bialik E, Stenqvist B, Fang Y, Östlund Å, Furó I, Lindman B, Lund M, Bernin D",J Phys Chem Lett,2016,2016-12-15,2016-11-29,7,24,5044-5048,10.1021/acs.jpclett.6b02346,27973886,Swedish NMR Centre (SNC),Collaborative,7c07b87748a84ea4aa259b1018f8732c,https://publications.scilifelab.se/publication/7c07b87748a84ea4aa259b1018f8732c,https://doi.org/10.1021/acs.jpclett.6b02346,https://www.ncbi.nlm.nih.gov/pubmed/27973886
"Novel SACS mutations associated with intellectual disability, epilepsy and widespread supratentorial abnormalities.","Ali Z, Klar J, Jameel M, Khan K, Fatima A, Raininko R, Baig S, Dahl N",J. Neurol. Sci.,2016,2016-12-15,2016-11-23,371,,105-111,10.1016/j.jns.2016.10.032,27871429,"Bioinformatics Compute and Storage, NGI Uppsala (Uppsala Genome Center)","Service, Service",a6ea90ff46cc427d9545ed02d53faca4,https://publications.scilifelab.se/publication/a6ea90ff46cc427d9545ed02d53faca4,https://doi.org/10.1016/j.jns.2016.10.032,https://www.ncbi.nlm.nih.gov/pubmed/27871429
