Reg. No.,1. Name of national platform,2. Name of facility,3. Authors,4. Title of publication,5. Journal,6. Volume,7. Issue,8. Pages y-x,9. Year of publication,10. Journal Impact factor 2014,Registered by,Created,Last update
134,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),"A. Bergfors,D. Leenheer,A. Bergqvist,A. Ameur,J. Lennerstrand",Analysis of Hepatitis C NS5A resistance associated polymorphisms using ultra deep single molecule real time (SMRT) sequencing,Antiviral Res,,,n/a-n/a,2015,3.938,Inger.jonasson@igp.uu.se,14/01/2016,,26707078
141,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),"A. Gillman,S. Muradrasoli,H. Soderstrom,F. Holmberg,N. Latorre-Margalef,C. Tolf,J. Waldenstrom,G. Gunnarsson,B. Olsen,J. D. Jarhult",Oseltamivir-resistant influenza A (H1N1) virus strain with an H274Y mutation in neuraminidase persists without drug pressure in infected mallards,Appl Environ Microbiol,81,7,2378-83,2015,3.668,Inger.jonasson@igp.uu.se,14/01/2016,,25616792
216,Bioimaging,Advanced light microscopy,"A. Holm, T. Karlsson, E. Vikström",Pseudomonas aeruginosa lasI/rhlI quorum sensing genes promote phagocytosis and aquaporin 9 redistribution to the leading and trailing regions in macrophages,Frontier in Microbiology,6,-,A19,2015,3.477,brismar@kth.se,15/01/2016,,26388857
156,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),"A. Menkis,A. Marciulynas,A. Gedminas,J. Lynikiene,A. Povilaitiene",High-Throughput Sequencing Reveals Drastic Changes in Fungal Communities in the Phyllosphere of Norway Spruce (Picea abies) Following Invasion of the Spruce Bud Scale (Physokermes piceae),Microb Ecol,70,4,904-11,2015,2.973,Inger.jonasson@igp.uu.se,14/01/2016,,26054703
161,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),"A. Osman,W. E. Hitzler,A. Ameur,P. Provost",Differential Expression Analysis by RNA-Seq Reveals Perturbations in the Platelet mRNA Transcriptome Triggered by Pathogen Reduction Systems,PLoS One,10,7,e0133070,2015,3.234,Inger.jonasson@igp.uu.se,14/01/2016,,26172280
421,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),"A. Schwelm,J. Fogelqvist,A. Knaust,S. Julke,T. Lilja,G. Bonilla-Rosso,M. Karlsson,A. Shevchenko,V. Dhandapani,S. R. Choi,H. G. Kim,J. Y. Park,Y. P. Lim,J. Ludwig-Muller,C. Dixelius",The Plasmodiophora brassicae genome reveals insights in its life cycle and ancestry of chitin synthases,Sci Rep,5,,11153,2015,5.578,per.kraulis@scilifelab.se,15/01/2016,,26084520
587,National Genomics Infrastructure,NGI Stockholm (Genomics Production),"A. Schwelm,J. Fogelqvist,A. Knaust,S. Julke,T. Lilja,G. Bonilla-Rosso,M. Karlsson,A. Shevchenko,V. Dhandapani,S. R. Choi,H. G. Kim,J. Y. Park,Y. P. Lim,J. Ludwig-Muller,C. Dixelius",The Plasmodiophora brassicae genome reveals insights in its life cycle and ancestry of chitin synthases,Sci Rep,5,,11153,2015,5.578,per.kraulis@scilifelab.se,15/01/2016,,26084520
169,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),"A. Schwelm,J. Fogelqvist,A. Knaust,S. Julke,T. Lilja,G. Bonilla-Rosso,M. Karlsson,A. Shevchenko,V. Dhandapani,S. R. Choi,H. G. Kim,J. Y. Park,Y. P. Lim,J. Ludwig-Muller,C. Dixelius",The Plasmodiophora brassicae genome reveals insights in its life cycle and ancestry of chitin synthases,Sci Rep,5,,11153,2015,5.578,Inger.jonasson@igp.uu.se,14/01/2016,,26084520
174,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),"A. Viluma,S. Sayyab,S. Mikko,G. Andersson,T. F. Bergstrom",Evaluation of whole-genome sequencing of four Chinese crested dogs for variant detection using the ion proton system,Canine Genet Epidemiol,2,,16,2015,,Inger.jonasson@igp.uu.se,14/01/2016,,26457193
158,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),"A. W. Njoroge,G. Tusiime,G. A. Forbes,J. E. Yuen",Displacement of US-1 clonal lineage by a new lineage of Phytophthora infestans on potato in Kenya and Uganda,Plant Pathology,,,n/a-n/a,2015,2.121,Inger.jonasson@igp.uu.se,14/01/2016,,[0]
